node,x,y
1,27265.21807,5605.81635
2,27261.54996,5623.04862
3,27254.24986,5635.45785
4,27222.9452,5688.67164
5,27203.69346,5721.39707
6,27130.08439,5846.52279
7,27069.98332,5948.68672
8,27066.41157,5954.75822
9,27029.74967,6017.12058
10,27029.73686,6017.14236
11,27020.5498,6032.76968
12,26852.74125,6274.22756
13,26850.01236,6278.79018
14,26814.63587,6337.93841
15,26776.53049,6401.64926
16,26752.26071,6468.54159
17,26748.76267,6478.18289
18,26663.63274,6615.47426
19,26644.82788,6645.80137
20,26622.77816,6681.36156
21,26561.40368,6780.34186
22,26529.78038,6831.34162
23,26517.88397,6850.52729
24,26500.09362,6879.21827
25,26443.05198,6971.21089
26,26396.45163,7046.36455
27,26374.96233,7081.02093
28,26353.3943,7098.25877
29,26296.94007,7143.37872
30,26201.22951,7219.87354
31,26173.4083,7242.10911
32,26145.48569,7264.42572
33,26122.86358,7282.50601
34,26105.50795,7296.37716
35,26087.2154,7310.99713
36,26063.14468,7330.23519
37,26032.81037,7354.4793
38,25993.88169,7385.5923
39,25987.26033,7390.88429
40,25902.28875,7454.27558
41,25830.67636,7494.92537
42,25793.84774,7515.83064
43,25749.22412,7524.31742
44,25659.86656,7541.31197
45,25564.84043,7559.38461
46,25519.01849,7568.09929
47,25433.89364,7584.28884
48,25336.7175,7602.77038
49,25216.81891,7625.5734
50,25185.51586,7631.5268
51,25104.13058,7647.00514
52,24987.827,7648.7795
53,24924.94626,7643.55161
54,24882.27253,7640.36866
55,24837.08668,7636.99834
56,24806.27325,7638.24248
57,24388.83726,7730.68365
58,24315.44406,7751.22247
59,24296.47534,7759.84211
60,24286.40721,7765.22041
61,24278.00801,7772.21213
62,24266.1458,7786.2343
63,24257.10427,7803.64549
64,24252.7382,7818.29984
65,24250.19446,7841.47428
66,24256.99823,7938.09007
67,24253.27098,7968.90854
68,24245.58818,7999.58093
69,24222.69494,8040.62231
70,24197.53001,8057.23771
71,24169.20793,8068.66974
72,24122.76602,8072.81765
73,24109.76701,8073.97864
74,23810.93706,8076.03962
75,23808.17241,8075.90827
76,23670.89431,8069.38629
77,23617.99419,8065.55704
78,23510.63442,8057.463
79,23465.30133,8053.94949
80,23345.86974,8044.69302
81,23277.82037,8041.8521
82,23261.62404,8045.23166
83,23252.90438,8049.58683
84,23233.19269,8056.66164
85,23185.34505,8073.83484
86,23164.06544,8076.5148
87,23115.0124,8075.27215
88,23101.36355,8076.80436
89,23084.29707,8081.6081
