Edge,JointI,JointJ,Length,CoordinateX,CoordinateY
1,1,2,17.61834,27263.38402,5614.43249
2,2,3,14.39724,27257.89991,5629.25323
3,3,4,61.73888,27238.59753,5662.06474
4,4,5,37.96819,27213.31933,5705.03435
5,5,6,145.17142,27166.88893,5783.95993
6,6,7,118.53104,27100.03385,5897.60476
7,7,8,7.04418,27068.19744,5951.72247
8,8,9,72.34057,27048.08062,5985.9394
9,9,10,0.02527,27029.74327,6017.13147
10,10,11,18.12775,27025.14333,6024.95602
11,11,12,294.04356,26936.64552,6153.49862
12,12,13,5.31642,26851.3768,6276.50887
13,13,14,68.92031,26832.32411,6308.3643
14,14,15,74.23673,26795.58318,6369.79384
15,15,16,71.15901,26764.3956,6435.09543
16,16,17,10.25626,26750.51169,6473.36224
17,17,18,161.54264,26706.19771,6546.82857
18,18,19,35.68412,26654.23031,6630.63781
19,19,20,41.84158,26633.80302,6663.58146
20,20,21,116.46427,26592.09092,6730.85171
21,21,22,60.00841,26545.59203,6805.84174
22,22,23,22.57464,26523.83218,6840.93445
23,23,24,33.75899,26508.9888,6864.87278
24,24,25,108.24228,26471.5728,6925.21458
25,25,26,88.42887,26419.7518,7008.78772
26,26,27,40.77812,26385.70698,7063.69274
27,27,28,27.61019,26364.17831,7089.63985
28,28,29,72.26956,26325.16718,7120.81874
29,29,30,122.52334,26249.08479,7181.62613
30,30,31,35.61516,26187.31891,7230.99132
31,31,32,35.74498,26159.447,7253.26741
32,32,33,28.95957,26134.17463,7273.46586
33,33,34,22.21771,26114.18576,7289.44158
34,34,35,23.41711,26096.36167,7303.68714
35,35,36,30.814,26075.18004,7320.61616
36,36,37,38.8323,26047.97752,7342.35724
37,37,38,49.83434,26013.34603,7370.0358
38,38,39,8.47629,25990.57101,7388.23829
39,39,40,106.01239,25944.77454,7422.57993
40,40,41,82.34525,25866.48255,7474.60048
41,41,42,42.34828,25812.26205,7505.37801
42,42,43,45.42349,25771.53593,7520.07403
43,43,44,90.95926,25704.54534,7532.8147
44,44,45,96.72945,25612.3535,7550.34829
45,45,46,46.64328,25541.92946,7563.74195
46,46,47,86.6507,25476.45606,7576.19407
47,47,48,98.91798,25385.30557,7593.52961
48,48,49,122.04774,25276.76821,7614.17189
49,49,50,31.86414,25201.16738,7628.5501
50,50,51,82.84409,25144.82322,7639.26597
51,51,52,116.31711,25045.97879,7647.89232
52,52,53,63.09769,24956.38663,7646.16556
53,53,54,42.79227,24903.6094,7641.96014
54,54,55,45.31137,24859.67961,7638.6835
55,55,56,30.83855,24821.67996,7637.62041
56,57,58,76.21289,24352.14066,7740.95306
57,58,59,20.83532,24305.9597,7755.53229
58,59,60,11.4146,24291.44127,7762.53126
59,60,61,10.92843,24282.20761,7768.71627
60,61,62,18.36664,24272.07691,7779.22321
61,62,63,19.61884,24261.62504,7794.9399
62,63,64,15.29092,24254.92124,7810.97266
63,64,65,23.31364,24251.46633,7829.88706
64,65,66,96.85505,24253.59634,7889.78217
65,66,67,31.04305,24255.13461,7953.4993
66,67,68,31.61994,24249.42958,7984.24473
67,68,69,46.99463,24234.14156,8020.10162
68,69,70,30.15536,24210.11248,8048.93001
69,70,71,30.54228,24183.36897,8062.95373
70,71,72,46.62677,24145.98698,8070.74369
71,72,73,13.05076,24116.26652,8073.39814
72,73,74,298.83706,23960.35203,8075.00913
73,74,75,2.76777,23809.55473,8075.97394
74,75,76,137.43294,23739.53336,8072.64728
75,76,77,53.03853,23644.44425,8067.47166
76,77,78,107.66445,23564.31431,8061.51002
77,78,79,45.46905,23487.96788,8055.70625
78,79,80,119.78976,23405.58553,8049.32126
79,80,81,68.10865,23311.84506,8043.27256
80,81,82,16.54516,23269.72221,8043.54188
81,82,83,9.7468,23257.26421,8047.40925
82,83,84,20.94286,23243.04854,8053.12424
83,84,85,50.83616,23209.26887,8065.24824
84,85,86,21.44771,23174.70525,8075.17482
85,86,87,49.06878,23139.53892,8075.89347
86,87,88,13.73458,23108.18797,8076.03825
87,88,89,17.72966,23092.83031,8079.20623
88,89,90,6.45794,23081.06824,8081.57739
89,90,91,13.78351,23070.98396,8082.2531
90,91,92,28.81095,23049.74891,8082.09644
91,92,93,4.63965,23033.07808,8080.87028
92,93,94,91.99823,22985.3546,8073.30793
93,94,95,77.48285,22910.86433,8091.73149
94,95,96,45.18294,22864.86156,8132.29587
95,96,97,9.11236,22844.08954,8149.7094
96,97,98,30.32233,22827.52655,8160.40713
97,98,99,8.79594,22810.75218,8170.37392
98,99,100,66.87193,22776.00909,8185.35138
99,100,101,31.61037,22730.45748,8204.00674
100,101,102,10.22892,22710.80583,8211.17921
101,102,103,203.04544,22612.01328,8251.31374
102,103,104,262.31613,22396.60118,8339.27949
103,104,105,37.03596,22258.03352,8395.86502
104,105,106,4.01302,22238.9363,8403.32368
105,106,107,12.47711,22230.90877,8405.20517
106,107,108,15.65733,22217.03973,8407.35312
107,108,109,22.50796,22198.12339,8406.35417
108,109,110,35.97605,22170.09162,8398.4987
109,110,111,26.75423,22142.18696,8399.98726
110,111,112,38.36773,22114.03906,8416.19694
111,112,113,126.38217,22034.72094,8436.13063
112,113,114,104.6376,21921.08783,8456.86825
113,114,115,241.41894,21750.87087,8487.93221
114,115,116,11.10082,21626.66242,8510.59979
115,116,117,2.96443,21619.74406,8511.86237
116,117,118,41.33441,21598.11615,8516.63553
117,118,119,114.31169,21522.16619,8533.607
118,119,120,473.37881,21235.39338,8597.68809
119,120,121,131.84364,20940.06558,8663.68085
120,121,122,214.90227,20770.86547,8701.48963
121,122,123,234.35472,20551.64347,8750.47609
122,123,124,159.90831,20359.25664,8793.46607
123,125,126,48.17147,19909.04993,5393.87658
124,127,128,1.11984,22609.70959,746.32733
125,129,130,145.01614,27333.2324,10161.0174
126,130,131,118.44031,27390.40593,10279.69138
127,131,132,205.73724,27460.75675,10425.71718
128,132,133,50.68075,27516.40285,10541.22068
129,133,134,119.96447,27553.43511,10618.08783
130,134,135,194.99424,27621.78532,10759.961
131,136,137,62.07703,26903.43499,9268.89541
132,137,138,404.47467,27004.68288,9479.05365
133,138,139,55.67519,27104.54148,9686.32818
134,139,129,426.55982,27209.19286,9903.55097
135,140,141,57.69431,28499.68179,8589.78715
136,141,142,28.91627,28468.05957,8560.20026
137,142,143,96.57251,28424.50201,8515.07223
138,143,144,136.15524,28344.50201,8430.57223
139,144,145,9.05094,28294.2854,8378.13895
140,145,146,69.36181,28266.41829,8350.56062
141,146,147,12.12843,28237.45747,8321.89991
142,147,148,45.22516,28217.07458,8301.72824
143,148,149,16.09222,28195.27117,8280.17445
144,149,150,43.28642,28174.12498,8259.33472
145,150,151,29.63528,28148.15577,8233.74187
146,151,152,47.50746,28120.68334,8206.6676
147,152,153,57.23104,28083.38339,8169.90822
148,153,154,18.40161,28056.49606,8143.31627
149,155,140,1.17117,28521.17404,8609.89608
150,156,157,184.97235,26853.4039,8948.90504
151,157,158,6.93094,26944.22195,8917.94057
152,158,159,69.89278,26980.50201,8905.32223
153,159,160,59.34012,27041.25201,8883.32223
154,160,161,25.53919,27080.75201,8867.82223
155,161,162,16.62077,27100.25201,8859.82223
156,162,163,24.16609,27119.00201,8851.82223
157,163,164,22.14159,27140.00201,8842.07223
158,164,165,27.57081,27162.37516,8831.24419
159,165,166,4.18214,27176.62516,8824.24419
160,166,167,86.54623,27217.50201,8804.57223
161,167,168,28.88771,27269.75201,8780.07223
162,168,169,48.08846,27304.25201,8763.07223
163,169,170,28.42534,27336.50201,8742.82223
164,170,171,18.59061,27354.3464,8727.53279
165,171,172,6.53408,27363.5964,8719.03279
166,172,173,60.959,27389.00201,8696.82223
167,173,174,157.2165,27472.01047,8626.04584
168,174,175,8.78679,27535.37279,8572.43157
169,175,176,80.92281,27569.61433,8543.45796
170,176,177,23.52505,27609.513,8509.76187
171,177,178,209.02117,27698.58708,8435.02737
172,178,179,89.42107,27812.90184,8339.11555
173,179,180,22.6459,27855.82777,8303.10005
174,180,181,200.52848,27940.48925,8230.40926
175,181,182,43.7512,28033.05536,8150.72452
176,183,184,147.35895,23888.64074,9410.62473
177,185,186,56.56188,25559.6829,9401.53286
178,186,187,6.03604,25561.4329,9432.78286
179,187,188,67.73218,25564.1118,9469.5691
180,188,189,6.47193,25566.8618,9506.5691
181,189,190,11.5125,25567.80328,9515.50949
182,190,191,17.20161,25569.55328,9529.75949
183,191,192,40.30346,25573.15945,9558.2849
184,192,193,66.05678,25579.90945,9611.0349
185,193,194,127.14165,25592.60165,9706.79616
186,194,195,39.13959,25604.07737,9789.1384
187,196,185,6.33353,25557.91348,9370.13499
188,197,196,66.95183,25555.88405,9333.54858
189,198,199,27.83018,25334.85577,9421.04766
190,199,200,32.25678,25344.35165,9392.54616
191,200,201,67.51481,25360.35165,9345.29616
192,201,202,66.25142,25381.35165,9281.79616
193,202,203,32.92633,25396.21133,9234.49153
194,204,205,134.80465,25205.59447,9808.96301
195,205,206,2.0038,25224.9195,9743.34602
196,206,207,144.56785,25248.1695,9673.84602
197,207,208,1.07151,25271.26853,9604.78706
198,208,209,22.49095,25274.93829,9593.59197
199,209,210,103.24645,25294.52141,9533.85106
200,210,211,4.64631,25311.45741,9482.63637
201,211,212,26.62615,25317.21724,9468.09966
202,212,198,23.044,25326.3656,9445.01095
203,213,214,126.82818,25132.0652,9558.20823
204,214,215,19.36981,25141.24498,9630.72853
205,215,216,92.6932,25148.28143,9686.31647
206,216,217,15.61729,25155.22204,9740.02401
207,217,218,129.40522,25165.62605,9811.78499
208,198,219,24.03671,25342.2553,9431.3284
209,219,220,2.27143,25355.00117,9428.0769
210,220,221,59.95613,25384.80226,9419.13826
211,221,222,64.7798,25444.51254,9401.12589
212,222,196,85.86194,25516.62376,9379.37263
213,213,223,18.79495,25132.35165,9490.79616
214,223,224,153.30117,25214.10165,9464.54616
215,224,225,19.50618,25297.27556,9441.55592
216,225,226,0.15342,25307.02556,9440.30592
217,226,198,24.26111,25318.85577,9437.29766
218,227,228,82.70708,24101.63121,9389.79749
219,228,229,73.22604,24107.64259,9467.53196
220,229,230,1.76542,24110.53359,9504.91608
221,230,231,179.35579,24119.35165,9595.04616
222,231,232,65.14928,24160.50961,9681.00516
223,232,233,223.2196,24303.95632,9666.43829
224,233,234,3.62514,24416.79835,9654.97929
225,234,235,243.73449,24539.85165,9642.54616
226,235,236,158.52129,24737.10165,9607.79616
227,236,237,85.87139,24854.31281,9573.24982
228,237,238,80.0934,24933.96217,9549.9677
229,238,239,3.33523,24974.00101,9538.26404
230,239,240,74.57285,25011.44888,9527.53685
231,240,213,79.88911,25085.69888,9506.28685
232,241,242,83.81651,23396.82728,10137.1797
233,242,243,73.85445,23354.45104,10203.65742
234,244,245,62.73316,23755.82958,9572.30202
235,245,246,41.99625,23727.82958,9616.55202
236,246,247,43.48447,23704.8164,9652.56725
237,247,248,56.46665,23677.72745,9694.56422
238,248,249,27.91938,23654.85698,9730.02112
239,249,250,9.57222,23644.69593,9745.77415
240,250,251,110.22838,23613.07136,9796.64503
241,251,252,25.64094,23577.28816,9854.39172
242,252,253,1.77243,23570.06844,9866.04285
243,253,254,44.93499,23557.4767,9885.71108
244,254,255,53.01002,23531.0479,9926.94001
245,255,256,17.87241,23511.92148,9956.77723
246,256,257,23.1574,23500.85028,9974.0483
247,257,258,24.65061,23487.97646,9994.18943
248,258,241,115.33763,23450.35269,10053.21171
249,183,259,34.33819,23823.24288,9472.76706
250,259,244,71.71845,23793.32521,9516.53155
251,260,261,22.1919,23605.16299,10112.78727
252,261,262,35.18006,23596.23135,10140.04636
253,262,263,49.4069,23583.31902,10180.32055
254,263,264,19.71104,23572.76806,10213.2295
255,264,265,57.08427,23561.04513,10249.79387
256,265,266,113.75406,23534.96638,10331.13472
257,266,267,191.33236,23487.64903,10476.15242
258,267,268,48.21147,23450.14903,10589.90242
259,268,269,409.12009,23374.10165,10805.54616
260,269,270,86.03488,23291.10165,11038.79616
261,270,271,146.77875,23251.60165,11148.29616
262,271,272,179.77555,23198.10165,11302.54616
263,183,273,86.24627,23818.87536,9499.20234
264,273,274,3.85421,23804.70769,9541.96683
265,274,275,62.46594,23793.60142,9573.21119
266,275,276,126.15778,23761.89466,9662.03353
267,276,277,28.51505,23735.89489,9734.86851
268,277,278,42.1239,23724.12113,9768.16771
269,278,279,96.43328,23701.16028,9833.53071
270,279,280,68.12434,23673.8908,9911.15917
271,280,281,69.80304,23651.39968,9976.35115
272,281,260,98.06031,23624.46103,10055.84225
273,282,283,17.46425,21721.10165,9861.79616
274,283,284,17.58551,21715.35165,9845.29616
275,284,285,12.04159,21712.60165,9830.79616
276,285,286,12,21712.10165,9818.79616
277,286,287,17.58551,21714.35165,9804.29616
278,287,288,14.39618,21719.10165,9789.04616
279,288,289,7.90569,21723.85165,9779.04616
280,289,290,19.79899,21733.10165,9768.79616
281,290,291,19.29378,21748.35165,9756.79616
282,291,292,42.71124,21775.60165,9742.04616
283,292,293,29.97082,21807.85165,9725.29616
284,293,294,29.73214,21832.10165,9708.29616
285,294,295,28.71411,21851.35165,9686.54616
286,295,296,27.51818,21865.35165,9662.29616
287,296,297,22.56103,21873.60165,9638.79616
288,297,298,34.81738,21886.10165,9613.54616
289,298,299,11.95867,21897.37201,9593.45334
290,299,300,28.3336,21899.22929,9573.45587
291,301,302,14.14716,21868.20546,10201.01856
292,302,303,10.99022,21866.08793,10188.71224
293,303,304,24.75407,21861.78348,10171.37916
294,304,305,6.32456,21858.10165,10156.29616
295,305,306,15.69235,21854.10165,10146.04616
296,306,307,27.313,21845.60165,10126.29616
297,307,308,30.6635,21833.85165,10099.79616
298,308,309,101.58863,21806.60165,10039.54616
299,309,310,101.07052,21763.10165,9948.04616
300,310,282,36.67424,21732.60165,9886.29616
301,311,312,51.12809,21168.83922,9651.88181
302,312,313,340.1701,21187.25864,9846.65904
303,313,314,105.22102,21207.75864,10068.40904
304,314,315,156.32098,21220.60165,10198.54616
305,315,316,15.2953,21229.28177,10283.91351
306,317,318,154.35978,29568.16421,10413.48834
307,318,319,15.47112,29589.5833,10331.31874
308,319,320,130.91365,29608.3333,10260.56874
309,320,321,36.21119,29630.60165,10180.04616
310,321,322,8.544,29637.60165,10158.79616
311,322,323,5.14782,29640.35165,10152.54616
312,323,324,14.15097,29645.35165,10144.29616
313,324,325,3.90512,29650.35165,10136.79616
314,325,326,19.52562,29657.85165,10127.79616
315,326,327,18.43909,29671.10165,10114.29616
316,327,328,6.72681,29680.60165,10106.04616
317,328,329,8.94427,29687.10165,10101.79616
318,329,330,15.65248,29698.10165,10096.29616
319,330,331,18.97367,29714.10165,10089.79616
320,331,332,6.95701,29726.40165,10085.69616
321,332,333,20.97737,29740.15165,10083.69616
322,333,334,6.5,29753.85165,10082.79616
323,334,335,26.61766,29770.35165,10084.04616
324,335,336,26.68333,29796.60165,10088.29616
325,336,337,67.42589,29842.35165,10099.29616
326,338,339,117.0235,29528.85165,10566.54616
327,339,317,22.33558,29545.91421,10498.98834
328,340,341,29.65162,28954.90097,9590.03457
329,341,342,43.71147,28924.72511,9569.85379
330,342,343,34.96961,28888.67579,9554.36538
331,343,344,445.61923,28661.85165,9475.04616
332,344,345,90.88397,28408.66881,9386.40504
333,345,346,144.0905,28297.66881,9347.90504
334,346,347,24.14817,28218.31856,9319.99785
