Step,AgentID,Citizen Coordinates,Citizen Position,Health
0,Citizen_0,"(21636.76183, -489.03127)",13054,13
0,Citizen_1,"(21636.76183, -489.03127)",13054,13
0,Citizen_2,"(21636.76183, -489.03127)",13054,13
0,Citizen_3,"(21636.76183, -489.03127)",13054,13
0,Citizen_4,"(21636.76183, -489.03127)",13054,13
0,Citizen_5,"(21636.76183, -489.03127)",13054,13
0,Citizen_6,"(21636.76183, -489.03127)",13054,13
0,Citizen_7,"(21636.76183, -489.03127)",13054,13
0,Citizen_8,"(21636.76183, -489.03127)",13054,13
0,Citizen_9,"(21636.76183, -489.03127)",13054,13
0,Citizen_10,"(21636.76183, -489.03127)",13054,13
0,Citizen_11,"(21636.76183, -489.03127)",13054,13
0,Citizen_12,"(21636.76183, -489.03127)",13054,13
0,Citizen_13,"(21636.76183, -489.03127)",13054,13
0,Citizen_14,"(21636.76183, -489.03127)",13054,13
0,Citizen_15,"(21636.76183, -489.03127)",13054,13
0,Citizen_16,"(21636.76183, -489.03127)",13054,13
0,Citizen_17,"(21636.76183, -489.03127)",13054,13
0,Citizen_18,"(21636.76183, -489.03127)",13054,13
0,Citizen_19,"(21636.76183, -489.03127)",13054,13
0,Citizen_20,"(21636.76183, -489.03127)",13054,13
0,Citizen_21,"(21636.76183, -489.03127)",13054,13
0,Citizen_22,"(21636.76183, -489.03127)",13054,13
0,Citizen_23,"(21636.76183, -489.03127)",13054,13
0,Citizen_24,"(21636.76183, -489.03127)",13054,13
0,Citizen_25,"(21636.76183, -489.03127)",13054,13
0,Citizen_26,"(21636.76183, -489.03127)",13054,13
0,Citizen_27,"(21636.76183, -489.03127)",13054,13
0,Citizen_28,"(21636.76183, -489.03127)",13054,13
0,Citizen_29,"(21636.76183, -489.03127)",13054,13
0,Citizen_30,"(21636.76183, -489.03127)",13054,13
0,Citizen_31,"(21636.76183, -489.03127)",13054,13
0,Citizen_32,"(21636.76183, -489.03127)",13054,13
0,Citizen_33,"(21636.76183, -489.03127)",13054,13
0,Citizen_34,"(21636.76183, -489.03127)",13054,13
0,Citizen_35,"(21636.76183, -489.03127)",13054,13
0,Citizen_36,"(21636.76183, -489.03127)",13054,13
0,Citizen_37,"(21636.76183, -489.03127)",13054,13
0,Citizen_38,"(21636.76183, -489.03127)",13054,13
0,Citizen_39,"(21636.76183, -489.03127)",13054,13
0,Citizen_40,"(21636.76183, -489.03127)",13054,13
0,Citizen_41,"(21636.76183, -489.03127)",13054,13
0,Citizen_42,"(21636.76183, -489.03127)",13054,13
0,Citizen_43,"(21636.76183, -489.03127)",13054,13
0,Citizen_44,"(21636.76183, -489.03127)",13054,13
0,Citizen_45,"(21636.76183, -489.03127)",13054,13
0,Citizen_46,"(21636.76183, -489.03127)",13054,13
0,Citizen_47,"(21636.76183, -489.03127)",13054,13
0,Citizen_48,"(21636.76183, -489.03127)",13054,13
0,Citizen_49,"(21636.76183, -489.03127)",13054,13
0,Citizen_50,"(21636.76183, -489.03127)",13054,13
0,Citizen_51,"(21636.76183, -489.03127)",13054,13
0,Citizen_52,"(21636.76183, -489.03127)",13054,13
0,Citizen_53,"(21636.76183, -489.03127)",13054,13
0,Citizen_54,"(21636.76183, -489.03127)",13054,13
0,Citizen_55,"(21636.76183, -489.03127)",13054,13
0,Citizen_56,"(21636.76183, -489.03127)",13054,13
0,Citizen_57,"(21636.76183, -489.03127)",13054,13
0,Citizen_58,"(21636.76183, -489.03127)",13054,13
